session_id,date,channel,device,country,landing_page,pages_viewed,session_duration_sec,bounce,product_view,pricing_view,signup_start,signup_complete,engaged,month
S00038,2026-03-20,Direct,Mobile,United States,/,1,7.3,1,0,0,0,0,0,2026-03
S00039,2026-02-18,Organic Search,Desktop,United States,/products,1,28.7,1,1,0,0,0,0,2026-02
S00040,2026-01-23,Paid Search,Desktop,United States,/features,1,24.9,1,1,1,0,0,0,2026-01
S00041,2026-03-06,Direct,Mobile,India,/products,5,183.3,0,1,0,0,0,1,2026-03
S00042,2026-01-14,Social,Mobile,India,/features,1,24.4,1,1,0,0,0,0,2026-01
S00043,2026-03-19,Paid Search,Mobile,United States,/,4,263.3,0,0,0,0,0,1,2026-03
S00044,2026-03-10,Organic Search,Mobile,United States,/pricing,1,19.6,1,1,1,0,0,0,2026-03
S00045,2026-01-22,Social,Mobile,India,/pricing,1,14.3,1,1,0,0,0,0,2026-01
S00046,2026-01-13,Social,Tablet,India,/features,1,44.7,1,1,0,0,0,0,2026-01
S00047,2026-01-23,Direct,Mobile,United States,/,2,75.3,0,1,0,0,0,1,2026-01
S00048,2026-03-10,Organic Search,Desktop,India,/products,1,19.0,1,1,0,0,0,0,2026-03
S00049,2026-02-16,Paid Search,Mobile,Australia,/blog,1,8.3,1,0,0,0,0,0,2026-02
S00050,2026-03-16,Organic Search,Tablet,United States,/contact,4,164.2,0,0,0,0,0,1,2026-03
S00051,2026-03-08,Organic Search,Mobile,India,/features,1,20.5,1,1,1,0,0,0,2026-03
S00052,2026-01-24,Organic Search,Mobile,India,/features,6,202.8,0,1,1,0,0,1,2026-01
S00053,2026-01-30,Social,Mobile,United States,/pricing,2,128.5,0,1,1,1,1,1,2026-01
S00054,2026-01-10,Paid Search,Mobile,India,/pricing,1,29.0,1,1,1,1,0,0,2026-01
S00055,2026-03-10,Paid Search,Desktop,Canada,/features,5,178.6,0,1,1,1,0,1,2026-03
S00056,2026-02-03,Social,Mobile,India,/features,1,9.2,1,1,0,0,0,0,2026-02
S00057,2026-01-26,Direct,Mobile,India,/features,5,169.4,0,1,0,0,0,1,2026-01
S00058,2026-01-13,Paid Search,Mobile,India,/features,2,98.4,0,1,0,0,0,1,2026-01
S00059,2026-03-21,Organic Search,Desktop,United Kingdom,/features,4,105.0,0,1,0,0,0,1,2026-03
S00060,2026-02-22,Organic Search,Mobile,Australia,/,3,266.8,0,0,0,0,0,1,2026-02
S00061,2026-01-07,Paid Search,Mobile,Canada,/products,8,149.2,0,1,0,0,0,1,2026-01
S00062,2026-03-22,Direct,Mobile,India,/contact,1,24.9,1,0,0,0,0,0,2026-03
S00063,2026-03-06,Paid Search,Mobile,United Kingdom,/pricing,1,9.7,1,1,1,1,1,0,2026-03
S00064,2026-02-16,Social,Mobile,India,/,1,13.8,1,0,0,0,0,0,2026-02
S00065,2026-03-22,Paid Search,Desktop,United States,/pricing,4,292.6,0,1,1,1,0,1,2026-03
S00066,2026-01-22,Direct,Mobile,Australia,/blog,3,119.5,0,0,0,0,0,1,2026-01
S00067,2026-01-23,Direct,Desktop,India,/features,2,150.1,0,1,0,0,0,1,2026-01
S00068,2026-02-23,Organic Search,Mobile,Australia,/features,6,169.0,0,1,1,0,0,1,2026-02
S00069,2026-01-31,Organic Search,Mobile,India,/,1,31.0,1,0,0,0,0,0,2026-01
S00070,2026-01-09,Direct,Mobile,India,/pricing,1,22.2,1,1,1,0,0,0,2026-01
S00071,2026-03-04,Organic Search,Mobile,United States,/,1,39.1,1,0,0,0,0,0,2026-03
S00072,2026-01-28,Direct,Mobile,Australia,/features,9,254.0,0,1,1,1,0,1,2026-01
S00073,2026-03-28,Email,Mobile,India,/,1,13.5,1,0,0,0,0,0,2026-03
S00074,2026-03-24,Organic Search,Mobile,United Kingdom,/blog,1,8.5,1,0,0,0,0,0,2026-03
S00075,2026-01-31,Organic Search,Tablet,India,/pricing,1,12.0,1,1,1,0,0,0,2026-01
S00076,2026-03-18,Organic Search,Mobile,United Kingdom,/blog,2,144.0,0,0,0,0,0,1,2026-03
S00077,2026-03-02,Organic Search,Mobile,United States,/pricing,1,3.0,1,1,1,0,0,0,2026-03
S00078,2026-03-11,Paid Search,Mobile,India,/blog,5,149.9,0,1,1,0,0,1,2026-03
S00079,2026-03-31,Direct,Mobile,United States,/blog,1,31.9,1,0,0,0,0,0,2026-03
S00080,2026-03-03,Social,Desktop,United States,/,1,5.1,1,0,0,0,0,0,2026-03
S00081,2026-03-10,Paid Search,Mobile,India,/products,2,154.1,0,1,0,0,0,1,2026-03
S00082,2026-03-08,Direct,Desktop,India,/pricing,4,153.1,0,1,1,1,1,1,2026-03
S00083,2026-03-28,Social,Mobile,India,/products,2,102.2,0,1,0,0,0,1,2026-03
S00084,2026-02-27,Organic Search,Mobile,Australia,/blog,1,5.7,1,0,0,0,0,0,2026-02
S00085,2026-02-19,Organic Search,Desktop,United States,/products,2,255.9,0,1,0,0,0,1,2026-02
S00086,2026-02-21,Organic Search,Mobile,United Kingdom,/features,6,288.0,0,1,0,0,0,1,2026-02
S00087,2026-02-15,Social,Desktop,United States,/,4,304.7,0,1,0,0,0,1,2026-02
S00088,2026-01-05,Direct,Mobile,Canada,/blog,1,10.1,1,0,0,0,0,0,2026-01
S00089,2026-02-13,Organic Search,Desktop,India,/products,6,225.0,0,1,0,0,0,1,2026-02
S00090,2026-01-09,Direct,Mobile,India,/pricing,3,410.0,0,1,0,0,0,1,2026-01
S00091,2026-01-25,Organic Search,Mobile,United States,/products,6,190.5,0,1,0,0,0,1,2026-01
S00092,2026-01-21,Paid Search,Desktop,India,/blog,2,150.2,0,1,1,0,0,1,2026-01
S00093,2026-03-17,Direct,Mobile,India,/products,3,118.4,0,1,1,0,0,1,2026-03
S00094,2026-02-19,Direct,Mobile,United States,/features,1,28.4,1,1,0,0,0,0,2026-02
S00095,2026-02-08,Organic Search,Tablet,Canada,/pricing,1,20.9,1,1,1,0,0,0,2026-02
S00096,2026-01-20,Paid Search,Mobile,United States,/contact,1,12.7,1,0,0,0,0,0,2026-01
S00097,2026-03-25,Direct,Desktop,India,/blog,2,200.8,0,1,0,0,0,1,2026-03
S00098,2026-02-12,Organic Search,Desktop,Australia,/blog,1,31.1,1,0,0,0,0,0,2026-02
S00099,2026-03-13,Organic Search,Desktop,India,/features,1,30.8,1,1,1,0,0,0,2026-03
S00100,2026-02-22,Referral,Desktop,India,/products,1,52.4,1,1,1,0,0,0,2026-02
S00101,2026-02-23,Email,Mobile,Australia,/blog,1,12.8,1,0,0,0,0,0,2026-02
S00102,2026-03-09,Paid Search,Mobile,United Kingdom,/products,5,150.1,0,1,0,0,0,1,2026-03
S00103,2026-02-26,Organic Search,Mobile,Australia,/blog,1,29.6,1,0,0,0,0,0,2026-02
S00104,2026-02-20,Referral,Desktop,United Kingdom,/,2,207.4,0,1,1,1,1,1,2026-02
S00105,2026-02-16,Social,Desktop,United States,/products,8,338.8,0,1,1,1,1,1,2026-02
S00106,2026-03-02,Paid Search,Mobile,India,/blog,1,19.1,1,0,0,0,0,0,2026-03
S00107,2026-01-08,Direct,Mobile,India,/pricing,5,236.0,0,1,0,0,0,1,2026-01
S00108,2026-02-10,Organic Search,Mobile,Australia,/products,10,275.8,0,1,1,1,1,1,2026-02
S00109,2026-01-20,Organic Search,Mobile,Canada,/pricing,2,117.2,0,1,1,0,0,1,2026-01
S00110,2026-03-25,Email,Desktop,India,/features,1,12.0,1,1,0,0,0,0,2026-03
S00111,2026-03-10,Direct,Mobile,India,/products,6,340.7,0,1,0,0,0,1,2026-03
S00112,2026-03-10,Organic Search,Desktop,India,/products,6,185.7,0,1,1,1,1,1,2026-03
S00113,2026-01-20,Organic Search,Desktop,India,/contact,1,17.6,1,0,0,0,0,0,2026-01
S00114,2026-02-10,Paid Search,Desktop,Canada,/features,1,10.3,1,1,1,1,1,0,2026-02
S00115,2026-01-07,Organic Search,Mobile,India,/,8,345.0,0,0,0,0,0,1,2026-01
S00116,2026-01-17,Email,Desktop,India,/pricing,4,138.9,0,1,1,0,0,1,2026-01
S00117,2026-02-17,Social,Desktop,Australia,/,1,29.6,1,0,0,0,0,0,2026-02
S00118,2026-03-05,Paid Search,Desktop,United States,/contact,1,46.4,1,0,0,0,0,0,2026-03
S00119,2026-03-22,Direct,Mobile,India,/pricing,3,294.2,0,1,0,0,0,1,2026-03
S00120,2026-02-10,Paid Search,Mobile,India,/products,1,24.7,1,1,0,0,0,0,2026-02
S00121,2026-03-03,Paid Search,Desktop,India,/products,2,206.1,0,1,1,1,0,1,2026-03
S00122,2026-01-21,Paid Search,Mobile,India,/pricing,1,20.9,1,1,0,0,0,0,2026-01
S00123,2026-02-04,Organic Search,Mobile,India,/,4,186.5,0,0,0,0,0,1,2026-02
S00124,2026-02-24,Direct,Mobile,India,/features,6,131.9,0,1,0,0,0,1,2026-02
S00125,2026-02-16,Organic Search,Mobile,India,/pricing,5,216.8,0,1,0,0,0,1,2026-02
S00126,2026-02-04,Direct,Mobile,India,/pricing,3,232.4,0,1,1,1,1,1,2026-02
S00127,2026-02-08,Direct,Mobile,India,/features,1,35.8,1,1,0,0,0,0,2026-02
S00128,2026-03-11,Organic Search,Mobile,Australia,/products,3,132.9,0,1,1,1,1,1,2026-03
S00129,2026-02-09,Organic Search,Desktop,India,/,1,15.1,1,0,0,0,0,0,2026-02
S00130,2026-01-26,Paid Search,Tablet,India,/products,1,7.8,1,1,1,0,0,0,2026-01
S00131,2026-01-08,Organic Search,Mobile,Canada,/features,1,9.0,1,1,0,0,0,0,2026-01
S00132,2026-02-12,Referral,Mobile,India,/,4,235.5,0,0,0,0,0,1,2026-02
S00133,2026-01-30,Paid Search,Mobile,India,/features,3,52.2,0,1,0,0,0,1,2026-01
S00134,2026-02-01,Direct,Mobile,Canada,/pricing,1,16.2,1,1,1,0,0,0,2026-02
S00135,2026-02-01,Paid Search,Desktop,United States,/pricing,5,104.9,0,1,1,1,1,1,2026-02
S00136,2026-03-18,Organic Search,Mobile,India,/pricing,1,32.0,1,1,0,0,0,0,2026-03
S00137,2026-03-21,Referral,Mobile,United Kingdom,/,1,3.9,1,0,0,0,0,0,2026-03
S00138,2026-02-08,Direct,Mobile,United States,/products,1,27.0,1,1,1,1,1,0,2026-02
S00139,2026-02-15,Social,Mobile,India,/blog,1,21.4,1,0,0,0,0,0,2026-02
S00140,2026-01-22,Organic Search,Desktop,India,/products,3,103.4,0,1,0,0,0,1,2026-01
S00141,2026-01-07,Direct,Desktop,India,/pricing,1,6.5,1,1,1,1,1,0,2026-01
S00142,2026-03-19,Direct,Mobile,Canada,/contact,1,13.3,1,0,0,0,0,0,2026-03
S00143,2026-01-29,Referral,Mobile,India,/,3,153.9,0,1,1,0,0,1,2026-01
S00144,2026-03-25,Paid Search,Desktop,India,/pricing,4,117.3,0,1,0,0,0,1,2026-03
S00145,2026-01-25,Direct,Mobile,India,/products,1,74.5,1,1,0,0,0,0,2026-01
S00146,2026-02-03,Organic Search,Desktop,Australia,/,5,216.4,0,1,1,0,0,1,2026-02
S00147,2026-02-09,Direct,Desktop,India,/contact,3,180.3,0,1,0,0,0,1,2026-02
S00148,2026-03-21,Direct,Mobile,India,/contact,2,81.3,0,0,0,0,0,1,2026-03
S00149,2026-01-29,Direct,Desktop,India,/products,1,4.9,1,1,1,0,0,0,2026-01
S00150,2026-02-14,Organic Search,Mobile,United States,/contact,4,458.6,0,1,1,0,0,1,2026-02
S00151,2026-03-12,Social,Desktop,India,/,1,16.4,1,0,0,0,0,0,2026-03
S00152,2026-03-07,Email,Mobile,Canada,/contact,4,268.4,0,0,0,0,0,1,2026-03
S00153,2026-01-29,Organic Search,Mobile,India,/features,2,51.1,0,1,1,1,1,1,2026-01
S00154,2026-01-25,Direct,Mobile,India,/products,5,247.8,0,1,1,0,0,1,2026-01
S00155,2026-01-28,Organic Search,Mobile,India,/blog,4,205.2,0,1,1,0,0,1,2026-01
S00156,2026-01-15,Paid Search,Mobile,India,/features,2,130.0,0,1,1,1,1,1,2026-01
S00157,2026-02-11,Organic Search,Mobile,India,/products,1,30.0,1,1,0,0,0,0,2026-02
S00158,2026-02-16,Paid Search,Desktop,United Kingdom,/products,3,187.6,0,1,0,0,0,1,2026-02
S00159,2026-03-24,Social,Mobile,India,/blog,1,23.3,1,0,0,0,0,0,2026-03
S00160,2026-02-06,Social,Mobile,United Kingdom,/,3,134.1,0,0,0,0,0,1,2026-02
S00161,2026-01-25,Organic Search,Tablet,India,/,1,14.3,1,0,0,0,0,0,2026-01
S00162,2026-01-01,Email,Desktop,United States,/products,1,12.8,1,1,0,0,0,0,2026-01
S00163,2026-03-31,Organic Search,Mobile,India,/blog,1,41.4,1,0,0,0,0,0,2026-03
S00164,2026-01-05,Organic Search,Mobile,United States,/products,2,138.1,0,1,1,0,0,1,2026-01
S00165,2026-01-01,Direct,Desktop,India,/pricing,4,252.6,0,1,0,0,0,1,2026-01
S00166,2026-02-26,Direct,Desktop,Australia,/products,3,125.1,0,1,0,0,0,1,2026-02
S00167,2026-02-25,Social,Mobile,Australia,/products,1,29.4,1,1,1,0,0,0,2026-02
S00168,2026-02-01,Social,Desktop,Canada,/blog,1,10.6,1,0,0,0,0,0,2026-02
S00169,2026-02-16,Organic Search,Mobile,Canada,/,4,178.9,0,0,0,0,0,1,2026-02
S00170,2026-01-03,Referral,Mobile,India,/blog,1,38.5,1,0,0,0,0,0,2026-01
S00171,2026-02-25,Organic Search,Desktop,India,/products,4,123.0,0,1,0,0,0,1,2026-02
S00172,2026-02-08,Direct,Desktop,India,/blog,6,199.4,0,1,0,0,0,1,2026-02
S00173,2026-03-25,Organic Search,Desktop,Canada,/products,4,158.6,0,1,0,0,0,1,2026-03
S00174,2026-01-12,Referral,Mobile,India,/features,1,18.4,1,1,0,0,0,0,2026-01
S00175,2026-03-24,Organic Search,Mobile,India,/,3,282.4,0,0,0,0,0,1,2026-03
S00176,2026-01-14,Organic Search,Mobile,United States,/features,9,213.4,0,1,0,0,0,1,2026-01
S00177,2026-01-07,Direct,Mobile,India,/products,10,220.8,0,1,0,0,0,1,2026-01
S00178,2026-03-10,Referral,Mobile,United Kingdom,/,3,162.9,0,0,0,0,0,1,2026-03
S00179,2026-01-05,Email,Mobile,India,/pricing,2,162.2,0,1,0,0,0,1,2026-01
S00180,2026-01-07,Social,Mobile,United States,/products,4,216.8,0,1,0,0,0,1,2026-01
S00181,2026-02-24,Email,Desktop,Canada,/pricing,1,35.9,1,1,0,0,0,0,2026-02
S00182,2026-02-11,Email,Mobile,United States,/features,4,374.1,0,1,1,0,0,1,2026-02
S00183,2026-02-03,Direct,Mobile,India,/features,4,152.2,0,1,0,0,0,1,2026-02
S00184,2026-01-30,Organic Search,Desktop,India,/blog,2,103.5,0,1,1,0,0,1,2026-01
S00185,2026-03-14,Social,Mobile,India,/contact,1,34.0,1,0,0,0,0,0,2026-03
S00186,2026-03-30,Paid Search,Desktop,India,/pricing,4,140.9,0,1,0,0,0,1,2026-03
S00187,2026-03-12,Direct,Mobile,United States,/,1,30.6,1,0,0,0,0,0,2026-03
S00188,2026-01-02,Organic Search,Mobile,India,/features,1,26.7,1,1,1,0,0,0,2026-01
S00189,2026-02-19,Social,Desktop,India,/products,3,145.0,0,1,1,0,0,1,2026-02
S00190,2026-02-10,Organic Search,Mobile,India,/,1,34.4,1,0,0,0,0,0,2026-02
S00191,2026-01-31,Referral,Desktop,Australia,/,1,38.2,1,0,0,0,0,0,2026-01
S00192,2026-03-04,Organic Search,Desktop,India,/products,4,155.8,0,1,0,0,0,1,2026-03
S00193,2026-02-14,Organic Search,Mobile,India,/products,3,115.9,0,1,0,0,0,1,2026-02
S00194,2026-03-26,Social,Desktop,India,/products,5,337.4,0,1,1,0,0,1,2026-03
S00195,2026-02-21,Organic Search,Desktop,India,/blog,6,172.9,0,0,0,0,0,1,2026-02
S00196,2026-01-29,Organic Search,Tablet,Australia,/blog,3,69.9,0,0,0,0,0,1,2026-01
S00197,2026-03-26,Paid Search,Mobile,India,/contact,1,17.9,1,0,0,0,0,0,2026-03
S00198,2026-02-27,Email,Mobile,United States,/,1,24.8,1,0,0,0,0,0,2026-02
S00199,2026-03-07,Organic Search,Desktop,United States,/,2,102.4,0,1,0,0,0,1,2026-03
S00200,2026-01-23,Organic Search,Mobile,United Kingdom,/pricing,4,125.4,0,1,0,0,0,1,2026-01
S00201,2026-01-21,Social,Mobile,United States,/,1,31.7,1,0,0,0,0,0,2026-01
S00202,2026-02-26,Referral,Mobile,United Kingdom,/products,1,3.0,1,1,1,1,0,0,2026-02
S00203,2026-01-26,Direct,Mobile,India,/blog,3,137.0,0,1,1,0,0,1,2026-01
S00204,2026-01-08,Organic Search,Mobile,India,/features,5,203.9,0,1,0,0,0,1,2026-01
S00205,2026-02-07,Organic Search,Mobile,United States,/products,5,163.9,0,1,0,0,0,1,2026-02
S00206,2026-01-26,Organic Search,Mobile,United States,/blog,5,150.3,0,1,0,0,0,1,2026-01
S00207,2026-03-25,Organic Search,Mobile,India,/blog,3,203.3,0,0,0,0,0,1,2026-03
S00208,2026-02-09,Paid Search,Desktop,India,/features,3,128.8,0,1,0,0,0,1,2026-02
S00209,2026-02-03,Organic Search,Mobile,India,/products,1,19.6,1,1,0,0,0,0,2026-02
S00210,2026-01-06,Direct,Mobile,India,/blog,7,149.1,0,1,0,0,0,1,2026-01
S00211,2026-02-27,Paid Search,Mobile,India,/blog,4,121.4,0,0,0,0,0,1,2026-02
S00212,2026-01-18,Paid Search,Mobile,India,/products,4,109.4,0,1,0,0,0,1,2026-01
S00213,2026-03-05,Organic Search,Tablet,India,/blog,1,41.3,1,0,0,0,0,0,2026-03
S00214,2026-01-10,Social,Desktop,United States,/blog,2,96.0,0,0,0,0,0,1,2026-01
S00215,2026-03-05,Paid Search,Mobile,United States,/products,6,221.1,0,1,1,0,0,1,2026-03
S00216,2026-03-27,Social,Mobile,United States,/pricing,1,13.4,1,1,0,0,0,0,2026-03
S00217,2026-03-26,Organic Search,Mobile,United States,/pricing,2,117.8,0,1,0,0,0,1,2026-03
S00218,2026-02-16,Organic Search,Mobile,India,/features,2,170.2,0,1,0,0,0,1,2026-02
S00219,2026-01-28,Referral,Mobile,India,/,3,121.1,0,0,0,0,0,1,2026-01
S00220,2026-02-22,Direct,Mobile,United States,/pricing,3,170.8,0,1,1,1,0,1,2026-02
S00221,2026-03-11,Organic Search,Mobile,United Kingdom,/products,1,13.8,1,1,0,0,0,0,2026-03
S00222,2026-03-15,Direct,Mobile,United States,/blog,3,70.4,0,0,0,0,0,1,2026-03
S00223,2026-01-07,Paid Search,Mobile,United States,/blog,1,30.7,1,0,0,0,0,0,2026-01
S00224,2026-01-31,Referral,Mobile,United States,/pricing,10,285.9,0,1,0,0,0,1,2026-01
S00225,2026-02-15,Organic Search,Mobile,United Kingdom,/pricing,5,205.6,0,1,1,0,0,1,2026-02
S00226,2026-01-10,Referral,Mobile,United Kingdom,/products,3,154.3,0,1,0,0,0,1,2026-01
S00227,2026-02-23,Organic Search,Mobile,United Kingdom,/products,3,123.7,0,1,0,0,0,1,2026-02
S00228,2026-01-16,Direct,Mobile,India,/blog,4,154.4,0,0,0,0,0,1,2026-01
S00229,2026-01-13,Paid Search,Mobile,India,/,1,46.4,1,0,0,0,0,0,2026-01
S00230,2026-03-03,Organic Search,Mobile,India,/features,1,40.8,1,1,1,1,1,0,2026-03
S00231,2026-03-01,Organic Search,Desktop,United States,/blog,1,41.1,1,0,0,0,0,0,2026-03
S00232,2026-03-27,Direct,Desktop,United Kingdom,/features,2,98.1,0,1,0,0,0,1,2026-03
S00233,2026-03-29,Referral,Mobile,India,/products,2,136.4,0,1,1,0,0,1,2026-03
S00234,2026-02-10,Paid Search,Mobile,India,/pricing,2,72.5,0,1,1,0,0,1,2026-02
S00235,2026-03-04,Referral,Desktop,United Kingdom,/,1,10.1,1,0,0,0,0,0,2026-03
S00236,2026-01-28,Social,Desktop,India,/features,4,219.5,0,1,0,0,0,1,2026-01
S00237,2026-02-16,Direct,Mobile,Canada,/blog,1,81.9,1,0,0,0,0,0,2026-02
S00238,2026-03-21,Social,Mobile,India,/blog,3,150.2,0,1,0,0,0,1,2026-03
S00239,2026-01-27,Organic Search,Mobile,India,/blog,5,191.9,0,0,0,0,0,1,2026-01
S00240,2026-02-05,Organic Search,Mobile,India,/products,5,91.2,0,1,0,0,0,1,2026-02
S00241,2026-01-13,Social,Mobile,India,/blog,4,111.8,0,1,0,0,0,1,2026-01
S00242,2026-01-12,Social,Mobile,India,/features,1,41.4,1,1,1,1,0,0,2026-01
S00243,2026-03-13,Organic Search,Mobile,India,/,1,29.3,1,0,0,0,0,0,2026-03
S00244,2026-01-24,Direct,Mobile,India,/contact,4,223.6,0,0,0,0,0,1,2026-01
S00245,2026-02-23,Paid Search,Mobile,India,/features,6,360.3,0,1,0,0,0,1,2026-02
S00246,2026-03-12,Email,Desktop,United Kingdom,/contact,1,27.8,1,0,0,0,0,0,2026-03
S00247,2026-02-03,Paid Search,Mobile,India,/features,1,5.5,1,1,0,0,0,0,2026-02
S00248,2026-03-19,Direct,Mobile,India,/products,4,164.7,0,1,0,0,0,1,2026-03
S00249,2026-03-22,Direct,Mobile,India,/pricing,1,15.5,1,1,0,0,0,0,2026-03
S00250,2026-03-13,Direct,Desktop,Australia,/,5,304.9,0,0,0,0,0,1,2026-03
S00251,2026-02-21,Paid Search,Mobile,United Kingdom,/blog,1,36.7,1,0,0,0,0,0,2026-02
S00252,2026-03-30,Email,Mobile,Australia,/,3,106.5,0,1,0,0,0,1,2026-03
S00253,2026-03-08,Direct,Mobile,Australia,/features,1,16.1,1,1,1,0,0,0,2026-03
S00254,2026-01-13,Organic Search,Desktop,India,/products,1,22.4,1,1,1,1,1,0,2026-01
S00255,2026-03-01,Organic Search,Desktop,United States,/,1,19.3,1,0,0,0,0,0,2026-03
S00256,2026-02-14,Social,Desktop,India,/,1,19.9,1,0,0,0,0,0,2026-02
S00257,2026-01-18,Social,Desktop,Canada,/blog,4,147.9,0,1,1,0,0,1,2026-01
S00258,2026-03-01,Organic Search,Mobile,India,/products,4,159.8,0,1,0,0,0,1,2026-03
S00259,2026-03-31,Organic Search,Mobile,India,/products,1,6.3,1,1,1,0,0,0,2026-03
S00260,2026-03-29,Paid Search,Mobile,Australia,/,3,68.1,0,0,0,0,0,1,2026-03
S00261,2026-03-02,Organic Search,Desktop,Canada,/products,3,217.3,0,1,1,1,0,1,2026-03
S00262,2026-03-27,Social,Desktop,Australia,/contact,1,22.3,1,0,0,0,0,0,2026-03
S00263,2026-02-06,Organic Search,Mobile,India,/pricing,1,13.7,1,1,0,0,0,0,2026-02
S00264,2026-02-02,Organic Search,Desktop,India,/products,2,167.7,0,1,0,0,0,1,2026-02
S00265,2026-02-26,Referral,Mobile,India,/,2,123.4,0,1,1,0,0,1,2026-02
S00266,2026-03-21,Organic Search,Mobile,India,/,4,190.8,0,1,1,1,0,1,2026-03
S00267,2026-01-16,Organic Search,Mobile,India,/products,1,3.6,1,1,0,0,0,0,2026-01
S00268,2026-02-16,Organic Search,Desktop,India,/,2,130.9,0,1,1,1,1,1,2026-02
S00269,2026-03-20,Organic Search,Desktop,United Kingdom,/,1,34.4,1,0,0,0,0,0,2026-03
S00270,2026-01-09,Organic Search,Mobile,India,/,1,21.1,1,0,0,0,0,0,2026-01
S00271,2026-01-13,Organic Search,Tablet,United States,/products,4,192.7,0,1,1,1,1,1,2026-01
S00272,2026-01-06,Organic Search,Desktop,Canada,/blog,5,171.8,0,0,0,0,0,1,2026-01
S00273,2026-03-10,Organic Search,Desktop,United States,/,1,33.3,1,0,0,0,0,0,2026-03
S00274,2026-03-31,Paid Search,Desktop,India,/blog,1,3.0,1,0,0,0,0,0,2026-03
S00275,2026-02-16,Paid Search,Mobile,India,/blog,6,185.8,0,0,0,0,0,1,2026-02
S00276,2026-03-26,Direct,Desktop,India,/features,1,36.9,1,1,0,0,0,0,2026-03
